ID,lat,lng,street,city,country
387,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
388,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
389,40.1769039,44.5220545,Khanjyan St,Yerevan,Armenia
390,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
391,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
392,40.1691559,44.5095366,Getar St,Yerevan,Armenia
393,40.1798593,44.5250268,Alek Manukyan St,Yerevan,Armenia
394,40.2005366,44.5662392,Gai Ave,Yerevan,Armenia
395,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
396,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
397,40.1805937,44.52415999999999,Tigran Petrosyan; Khanjyan St,Yerevan,Armenia
398,40.18155369999999,44.4844405,Tsitsernakaberd Hwy,Yerevan,Armenia
399,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
400,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
402,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
403,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
405,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
406,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
407,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
408,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
409,40.18155369999999,44.4844405,Tsitsernakaberd Hwy,Yerevan,Armenia
410,40.18155369999999,44.4844405,Tsitsernakaberd Hwy,Yerevan,Armenia
412,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
413,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
414,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
415,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
416,40.18938180000001,44.5156616,Tamanyan St,Yerevan,Armenia
417,40.1912848,44.4706607,Leningradyan St,Yerevan,Armenia
418,40.1860168,44.5183665,Teryan St,Yerevan,Armenia
419,40.1860168,44.5183665,Teryan St,Yerevan,Armenia
420,40.1880349,44.5174169,Moskovyan Street,Yerevan,Armenia
421,40.1665764,44.5132354,Tigran Mets Ave,Yerevan,Armenia
422,40.1798593,44.5250268,Alek Manukyan St,Yerevan,Armenia
423,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
424,40.2089584,44.544548,Lepsius St,Yerevan,Armenia
425,40.2089584,44.544548,Lepsius St,Yerevan,Armenia
426,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
427,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
428,40.18245659999999,44.5154619,Hin Yerevantsi St,Yerevan,Armenia
429,40.2028705,44.5309353,Davit Anhaght Street,Yerevan,Armenia
430,40.2153506,44.5848525,Charents,Yerevan,Armenia
431,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
432,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
433,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
434,40.1769039,44.5220545,Khanjyan St,Yerevan,Armenia
435,40.2165996,44.5770075,Isahakyan,Yerevan,Armenia
436,40.2165996,44.5770075,Isahakyan,Yerevan,Armenia
437,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
438,40.20528160000001,44.4768727,Fuchik St,Yerevan,Armenia
439,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
440,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
441,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
442,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
443,40.1880349,44.5174169,Moskovyan Street,Yerevan,Armenia
444,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
445,40.1818622,44.5089465,Pavstos Buzand St,Yerevan,Armenia
446,40.1354426,44.5102789,Artsakh Ave,Yerevan,Armenia
447,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
448,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
449,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
450,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
451,40.1897429,44.5291058,14 Heratsi St,Yerevan,Armenia
452,40.1880349,44.5174169,Moskovyan Street,Yerevan,Armenia
453,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
454,40.18938180000001,44.5156616,Tamanyan St,Yerevan,Armenia
455,40.2012014,44.4949512,38 Kasyan St,Yerevan,Armenia
457,40.2012014,44.4949512,38 Kasyan St,Yerevan,Armenia
458,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
459,40.1668828,44.5146355,Movses Khorenatsi Street,Yerevan,Armenia
460,40.1668828,44.5146355,Movses Khorenatsi Street,Yerevan,Armenia
461,40.1668828,44.5146355,Movses Khorenatsi Street,Yerevan,Armenia
462,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
463,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
464,40.2037229,44.5129822,43rd St,Yerevan,Armenia
465,40.1845988,44.5099309,Ghazar Parpetsi St,Yerevan,Armenia
466,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
467,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
468,40.1818622,44.5089465,Pavstos Buzand St,Yerevan,Armenia
469,40.1860168,44.5183665,Teryan St,Yerevan,Armenia
471,40.1686755,44.5202593,Kajaznuni St,Yerevan,Armenia
472,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
473,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
474,40.1845988,44.5099309,Ghazar Parpetsi St,Yerevan,Armenia
475,40.2153506,44.5848525,Charents,Yerevan,Armenia
476,40.18938180000001,44.5156616,Tamanyan St,Yerevan,Armenia
477,40.1457667,44.4898761,Tadevosian St,Yerevan,Armenia
478,40.1860168,44.5183665,Teryan St,Yerevan,Armenia
480,40.1723726,44.5147026,Zoravar Andranik statue; Tigran Mets Ave,Yerevan,Armenia
481,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
482,40.1793718,44.5019252,Leo St,Yerevan,Armenia
483,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
484,40.2042635,44.5021686,Vahram Papazyan St,Yerevan,Armenia
485,40.1631595,44.5101804,Kristapor St,Yerevan,Armenia
486,40.1665764,44.5132354,Tigran Mets Ave,Yerevan,Armenia
487,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
488,40.1665764,44.5132354,Tigran Mets Ave,Yerevan,Armenia
489,40.2052002,44.5306779,Nersisyan St,Yerevan,Armenia
490,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
491,40.1779515,44.5650182,Hunan Avetisyan St,Yerevan,Armenia
492,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
493,40.1709263,44.5173011,Yervand Kochar St,Yerevan,Armenia
494,40.2003784,44.4958383,Gyulbenkyan St,Yerevan,Armenia
495,40.2003784,44.4958383,Gyulbenkyan St,Yerevan,Armenia
496,40.1668828,44.5146355,Movses Khorenatsi Street,Yerevan,Armenia
497,40.1668828,44.5146355,Movses Khorenatsi Street,Yerevan,Armenia
498,40.18938180000001,44.5156616,Tamanyan St,Yerevan,Armenia
499,40.1845988,44.5099309,Ghazar Parpetsi St,Yerevan,Armenia
500,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
501,40.1880349,44.5174169,Moskovyan Street,Yerevan,Armenia
503,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
504,40.1880349,44.5174169,Moskovyan Street,Yerevan,Armenia
505,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
506,40.1806224,44.50817809999999,Amiryan St,Yerevan,Armenia
507,40.1549381,44.5306675,Argishti,Yerevan,Armenia
508,40.1815025,44.5108536,Yeznik Koghbatsi St,Yerevan,Armenia
509,40.1815025,44.5108536,Yeznik Koghbatsi St,Yerevan,Armenia
510,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
511,40.1806224,44.50817809999999,Amiryan St,Yerevan,Armenia
512,40.1880349,44.5174169,Moskovyan Street,Yerevan,Armenia
513,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
514,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
515,40.1880349,44.5174169,Moskovyan Street,Yerevan,Armenia
516,40.1686755,44.5202593,Kajaznuni St,Yerevan,Armenia
517,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
